Wall time,Step,Value
1623201698.8130372,0,2.01287841796875
1623201699.0276654,0,2.078455924987793
1623201700.892009,0,1.9867480993270874
1623201702.545228,0,1.9909751415252686
1623201707.7904077,0,2.0210084915161133
1623201712.2371233,0,1.909450888633728
1623201712.5949788,0,1.9475032091140747
1623201714.1042373,0,1.954809308052063
1623201715.395874,0,1.9281253814697266
1623201717.911013,0,1.8737014532089233
1623201718.054899,0,1.7344125509262085
1623201723.3413632,1,1.9523799419403076
1623201734.591835,1,1.7321187257766724
1623201739.0776863,1,2.0298399925231934
1623201742.1808043,1,1.5746219158172607
1623201742.6851554,1,1.5225377082824707
1623201750.0846624,2,1.829298734664917
1623201751.023443,2,1.5430374145507812
1623201755.8752003,2,1.7667535543441772
1623201756.4561462,2,1.8164584636688232
1623201762.241987,2,1.5658950805664062
1623201762.6758666,2,1.7048298120498657
1623201764.7022336,2,1.516379475593567
1623201778.3502464,3,1.4690704345703125
1623201781.467127,3,1.5004640817642212
1623201785.2285066,3,1.3576855659484863
1623201787.9764664,3,1.3906928300857544
1623201793.4749618,3,1.0980027914047241
1623201803.2721415,4,1.5039764642715454
1623201807.270938,4,1.2027703523635864
1623201807.4885962,4,1.1656848192214966
1623201808.507217,4,1.6261317729949951
1623201808.79865,4,1.1866559982299805
1623201812.2857893,4,1.4117133617401123
1623201812.7944117,4,1.3500547409057617
1623201815.9875906,4,1.3980317115783691
1623201818.1588395,4,1.1433324813842773
1623201824.388726,4,1.5135854482650757
1623201830.7768917,5,1.055688738822937
1623201838.5488694,5,1.0121246576309204
1623201841.6701653,5,1.1901084184646606
1623201841.8880675,5,1.4364569187164307
1623201849.6487305,5,1.4911181926727295
1623201852.0283523,5,1.1117314100265503
1623201858.905579,6,1.1441030502319336
1623201861.085852,6,1.0536359548568726
1623201867.5487273,6,1.1324719190597534
1623201871.907364,6,0.9508040547370911
1623201883.3353145,7,1.4844517707824707
1623201887.8939984,7,0.9514544606208801
1623201891.150193,7,0.8532946705818176
1623201897.090497,7,1.448852777481079
1623201900.4952924,7,1.208838939666748
1623201901.7273157,7,1.1023914813995361
1623201901.8721857,7,1.1705801486968994
1623201902.2347014,7,0.8225580453872681
1623201904.0463657,7,0.9758055210113525
1623201904.1191142,7,1.3072463274002075
1623201904.9881616,7,0.9175595045089722
1623201905.3393543,7,2.0278899669647217
1623201911.3578944,8,0.9282516241073608
1623201922.4452925,8,0.7896054983139038
1623201926.4318578,8,0.9696165323257446
1623201946.8255746,9,1.36591637134552
1623201951.9954855,9,0.6833733320236206
1623201952.2132185,9,0.862213671207428
1623201964.8895833,10,1.4441670179367065
1623201969.9133773,10,0.7809706926345825
1623201971.0765312,10,1.3107153177261353
1623201971.1495745,10,0.961609423160553
1623201975.3654974,10,0.79822838306427
1623201992.1742127,11,0.8719863891601562
1623202002.223462,11,0.8773847222328186
1623202002.3691962,11,1.067000389099121
1623202006.0330567,11,0.8306127786636353
1623202011.2291927,11,0.7885746955871582
1623202020.505239,12,0.442219614982605
1623202021.0150414,12,0.5694083571434021
1623202028.7993364,12,0.9438227415084839
1623202030.8358238,12,0.7795261740684509
1623202036.6521282,12,1.1015470027923584
1623202045.064506,13,0.7538707256317139
1623202052.1948936,13,0.6520514488220215
1623202054.819225,13,1.1765187978744507
1623202061.0054657,13,0.5548298358917236
1623202070.940718,14,0.6716597676277161
1623202077.6174796,14,0.7458705306053162
1623202078.8534584,14,1.200897455215454
1623202090.113606,14,0.6155306100845337
1623202090.403713,14,0.9450215101242065
1623202090.984713,14,1.032812476158142
1623202103.0468023,15,0.7278940081596375
1623202104.0669808,15,1.0586961507797241
1623202106.8363314,15,0.8421422243118286
1623202110.7645712,15,1.476664662361145
1623202116.3718479,15,0.5809285044670105
1623202126.2390678,16,0.5792142748832703
1623202130.1600487,16,0.751879096031189
1623202132.194509,16,0.7719631195068359
1623202151.4290955,17,0.6939769983291626
1623202152.4460132,17,1.1909760236740112
1623202156.8787174,17,0.9397832751274109
1623202166.2364588,17,0.6492890119552612
1623202179.5811017,18,1.2415107488632202
1623202182.7893627,18,1.0613348484039307
1623202188.9788442,18,0.6060357093811035
1623202193.0547523,18,0.6497426629066467
1623202193.5622303,18,0.7519232630729675
1623202196.1812665,18,0.3962477743625641
1623202206.1651466,19,0.7854533195495605
1623202216.3833,19,0.7892731428146362
1623202221.3750103,19,0.8314967155456543
1623202222.7498085,19,0.4425591230392456
1623202231.7884288,20,0.8337632417678833
1623202233.4640138,20,1.3437317609786987
1623202238.116295,20,0.7573385238647461
1623202248.5829406,20,1.1360554695129395
1623202256.3974106,21,0.4558330476284027
1623202258.5078921,21,0.9839755892753601
1623202265.2725413,21,0.48450037837028503
1623202265.4907904,21,1.201577067375183
1623202266.3628757,21,0.4603547751903534
1623202276.7707944,21,0.8137890100479126
1623202288.8082628,22,0.8231489658355713
1623202299.5658617,22,0.55269855260849
1623202302.5486667,22,0.6487072110176086
1623202317.773051,23,1.2331792116165161
1623202322.9281483,23,0.9329548478126526
1623202327.8685558,23,1.819732666015625
1623202328.5939722,23,0.6089414358139038
1623202328.8125741,23,0.5166366100311279
1623202329.9007895,23,0.6403496265411377
1623202332.280044,23,0.5092774033546448
1623202349.455435,24,1.1734219789505005
1623202356.3813267,24,0.3871919512748718
1623202357.1106424,24,0.3854685127735138
1623202363.5496218,25,0.8964232802391052
1623202375.054438,25,0.6097599267959595
1623202380.5225282,25,0.7633248567581177
1623202392.7732363,26,0.7584759593009949
1623202395.7533245,26,0.7795876860618591
1623202406.0707479,26,0.8754345178604126
