Wall time,Step,Value
1624087605.6108077,0,39.29999923706055
1624087676.334972,1,42.58000183105469
1624087748.1261418,2,52.2599983215332
1624087818.0320146,3,58.2599983215332
1624087885.9626386,4,58.880001068115234
1624087952.4006283,5,62.36000061035156
1624088018.6073594,6,66.30000305175781
1624088087.3033526,7,66.86000061035156
1624088156.633593,8,68.80000305175781
1624088224.2842095,9,67.87000274658203
1624088289.4791684,10,71.69999694824219
1624088354.547378,11,68.56999969482422
1624088421.5889003,12,72.66999816894531
1624088490.5216312,13,77.02999877929688
1624088558.8864236,14,75.30000305175781
1624088625.2043316,15,76.05999755859375
1624088692.038234,16,76.5199966430664
1624088757.8263967,17,79.43000030517578
1624088825.7033827,18,75.88999938964844
1624088895.1651955,19,81.51000213623047
1624088962.8466377,20,74.58999633789062
1624089028.1810946,21,70.13999938964844
1624089092.3802042,22,81.7300033569336
1624089157.737283,23,75.68000030517578
1624089225.684408,24,82.01000213623047
1624089293.4000187,25,81.19000244140625
1624089358.3985584,26,73.93000030517578
1624089423.4282367,27,82.08999633789062
1624089489.7483761,28,81.37999725341797
1624089558.1605833,29,78.61000061035156
1624089627.2136683,30,83.12999725341797
1624089694.253952,31,76.83999633789062
1624089758.953013,32,80.77999877929688
1624089822.415872,33,75.72000122070312
1624089887.1995678,34,79.38999938964844
1624089954.4855285,35,81.5
1624090019.5496542,36,83.81999969482422
1624090083.4700167,37,79.12000274658203
1624090147.2612433,38,78.68000030517578
1624090214.0969172,39,78.37999725341797
1624090281.6955636,40,75.37999725341797
1624090347.8747358,41,81.05000305175781
1624090412.3453188,42,78.66999816894531
1624090475.6682427,43,81.55000305175781
1624090541.7028987,44,80.19999694824219
1624090609.5884428,45,81.41000366210938
1624090676.017832,46,82.68000030517578
1624090740.4765851,47,82.95999908447266
1624090805.2172668,48,75.7699966430664
1624090871.510726,49,84.55999755859375
1624090940.900232,50,84.56999969482422
1624091010.026059,51,81.05000305175781
1624091076.7490778,52,82.61000061035156
1624091141.9937587,53,78.20999908447266
1624091206.8327885,54,84.08000183105469
1624091273.835967,55,81.18000030517578
1624091342.4546833,56,83.79000091552734
1624091409.8631299,57,84.80999755859375
1624091474.5582695,58,86.2300033569336
1624091539.2878976,59,84.05999755859375
1624091605.579545,60,84.27999877929688
1624091674.408841,61,86.86000061035156
1624091743.9914293,62,83.4000015258789
1624091812.5036027,63,84.04000091552734
1624091879.967405,64,84.08999633789062
1624091947.5002437,65,84.41000366210938
1624092015.8365793,66,83.77999877929688
1624092085.1736057,67,81.5
1624092155.4392312,68,82.83999633789062
1624092225.0350008,69,85.51000213623047
1624092292.9926174,70,79.80999755859375
1624092360.189013,71,83.73999786376953
1624092427.1102767,72,78.69000244140625
1624092495.270298,73,81.62000274658203
1624092566.4482923,74,82.88999938964844
1624092635.669141,75,81.91999816894531
1624092703.5747077,76,81.19000244140625
1624092770.81589,77,86.19000244140625
1624092837.5910594,78,83.38999938964844
1624092907.1905417,79,81.94000244140625
1624092978.6709924,80,86.2699966430664
1624093048.6687164,81,85.08000183105469
1624093116.04073,82,86.72000122070312
1624093184.2870235,83,86.75
1624093252.6568713,84,82.66999816894531
1624093321.7327242,85,83.5199966430664
1624093391.322365,86,85.55999755859375
1624093461.3156273,87,87.58000183105469
1624093529.4348357,88,83.2300033569336
1624093595.8464172,89,87.06999969482422
1624093660.6595194,90,85.18000030517578
1624093728.291406,91,88.0199966430664
1624093797.1855412,92,86.38999938964844
1624093866.3279305,93,83.69999694824219
1624093933.210886,94,85.9000015258789
1624093998.4205813,95,80.87999725341797
1624094064.0962934,96,87.73999786376953
1624094132.4865477,97,87.36000061035156
1624094202.190291,98,84.55000305175781
1624094271.2673762,99,88.2300033569336
1624094337.5720034,100,86.66000366210938
1624094403.586381,101,85.02999877929688
1624094468.6852896,102,85.79000091552734
1624094536.4129734,103,87.44000244140625
1624094604.4966452,104,87.93000030517578
1624094669.7834756,105,87.83999633789062
1624094734.1002371,106,88.37000274658203
1624094797.2701921,107,88.95999908447266
1624094863.243308,108,87.55000305175781
1624094931.5495753,109,88.19999694824219
1624094998.022524,110,89.66999816894531
1624095063.2622437,111,88.5199966430664
1624095127.1887727,112,86.47000122070312
1624095192.1883466,113,89.62999725341797
1624095259.5356958,114,87.6500015258789
1624095324.9290137,115,89.02999877929688
1624095388.392584,116,88.66999816894531
1624095451.710106,117,89.20999908447266
1624095517.7328563,118,87.56999969482422
1624095586.5936103,119,89.38999938964844
1624095653.3791265,120,89.47000122070312
1624095718.71799,121,90.29000091552734
1624095783.8229995,122,89.86000061035156
1624095848.8364177,123,90.75
1624095917.0434048,124,89.0
1624095984.0952535,125,90.01000213623047
1624096048.9649167,126,90.72000122070312
1624096113.2508643,127,90.76000213623047
1624096177.5393984,128,90.98999786376953
1624096244.6246233,129,91.56999969482422
1624096314.7947662,130,90.66999816894531
1624096382.7209375,131,90.81999969482422
1624096449.1920435,132,91.02999877929688
1624096514.7988043,133,91.37000274658203
1624096581.2936769,134,92.01000213623047
1624096649.8842025,135,90.33999633789062
1624096719.022183,136,91.4800033569336
1624096784.6850023,137,89.76000213623047
1624096849.491254,138,91.23999786376953
1624096914.0384557,139,91.7699966430664
1624096981.974798,140,90.61000061035156
1624097051.5476809,141,91.16999816894531
1624097119.7201252,142,91.19000244140625
1624097185.6292608,143,92.0999984741211
1624097252.9522755,144,91.76000213623047
1624097320.6051333,145,93.0999984741211
1624097390.4156377,146,92.58000183105469
1624097461.6996942,147,92.25
1624097531.727923,148,91.9800033569336
1624097599.747744,149,93.31999969482422
1624097666.5648358,150,93.63999938964844
1624097732.611359,151,93.2300033569336
1624097800.801861,152,93.25
1624097870.358762,153,93.31999969482422
1624097940.2497656,154,92.91999816894531
1624098007.7963378,155,93.5
1624098074.0688393,156,94.1500015258789
1624098140.0922272,157,93.97000122070312
1624098208.854187,158,93.88999938964844
1624098278.7318394,159,93.97000122070312
1624098348.4790704,160,94.12999725341797
1624098417.183244,161,94.19000244140625
1624098485.9195547,162,93.91999816894531
1624098554.96443,163,94.47000122070312
1624098623.3156607,164,94.48999786376953
1624098692.853724,165,94.66000366210938
1624098764.2069323,166,94.4000015258789
1624098833.1873121,167,94.9000015258789
1624098900.3074584,168,94.75
1624098966.7211149,169,95.37000274658203
1624099033.0745568,170,94.68000030517578
1624099101.1597939,171,95.22000122070312
1624099170.3301752,172,95.26000213623047
1624099239.1255515,173,95.22000122070312
1624099305.2829456,174,95.29000091552734
1624099371.1902897,175,95.38999938964844
1624099437.039171,176,95.45999908447266
1624099505.1818619,177,95.66999816894531
1624099575.5287879,178,95.70999908447266
1624099643.8790078,179,95.5
1624099710.393163,180,95.73999786376953
1624099776.53326,181,95.69000244140625
1624099842.4483073,182,95.73999786376953
1624099910.34507,183,95.80000305175781
1624099979.460736,184,96.02999877929688
1624100045.65162,185,96.12000274658203
1624100110.1303556,186,96.12999725341797
1624100174.2032087,187,96.04000091552734
1624100239.9955225,188,96.11000061035156
1624100308.431514,189,96.18000030517578
1624100375.5163279,190,96.23999786376953
1624100441.3041856,191,96.38999938964844
1624100506.5995903,192,96.41999816894531
1624100572.6690278,193,96.31999969482422
1624100639.8753166,194,96.37000274658203
1624100707.501767,195,96.41999816894531
1624100772.6134298,196,96.37999725341797
1624100835.7349713,197,96.44999694824219
1624100899.0681758,198,96.37000274658203
1624100962.969913,199,96.33999633789062
